GitHub Repo,domain,Lines of Code,Stars,Commits,Contributor Count,Project Size,unused-argument,no-member,protected-access,no-self-use,too-many-arguments,redefined-outer-name,too-many-locals,unsubscriptable-object,syntax-error,too-few-public-methods,attribute-defined-outside-init,abstract-method,no-else-return,unused-variable,fixme,too-many-instance-attributes,redefined-builtin,arguments-differ,logging-fstring-interpolation,no-value-for-parameter,Total_Python_Smells,Python_Smell_Density
IBM/lale,Data Science / Traditional ML,80917,343,1540,27,large,119,266,279,155,40,0,91,5,0,33,124,13,263,0,86,17,0,3,84,46,1624,20.06994821854493
idealo/image-super-resolution,Computer Vision,2788,4789,151,8,small,25,3,42,9,8,0,5,0,0,6,4,0,14,11,0,5,10,2,0,0,144,51.64992826398852
interpretml/DiCE,Domain-Specific Applications,7492,1446,791,23,small,25,93,25,66,69,9,23,0,0,19,274,0,39,13,14,14,1,14,0,4,702,93.69994660971703
interpretml/interpret-community,Reinforcement Learning,10499,435,486,22,medium,50,59,142,219,32,19,42,0,0,47,26,0,53,31,11,10,3,23,0,0,767,73.05457662634537
interpretml/interpret-text,Natural Language Processing,6861,426,152,18,small,31,14,4,30,22,39,22,1,0,15,35,0,13,23,11,7,7,4,1,0,279,40.664626147791864
jaakkopasanen/AutoEq,Domain-Specific Applications,4958,14749,896,18,small,18,2,0,15,26,0,17,4,0,6,12,0,2,21,0,6,0,0,0,0,129,26.01855586930214
jantic/DeOldify,Computer Vision,12886,18416,524,37,medium,59,24,19,51,161,42,46,0,0,25,188,9,41,62,20,31,36,111,0,4,929,72.09374514977495
jeongyoonlee/Kaggler,Data Science / Traditional ML,2665,752,254,8,small,17,3,1,1,9,2,10,0,0,2,35,0,4,7,0,6,1,0,10,1,109,40.90056285178236
jessevig/bertviz,Natural Language Processing,7099,7652,308,5,small,12,0,5,13,61,1,44,0,0,3,5,42,18,6,1,22,3,16,0,0,252,35.49795745879701
joeynmt/joeynmt,ML Frameworks / Libraries,9765,702,904,30,small,0,2,0,0,36,0,27,0,0,0,0,3,0,0,17,5,1,0,0,2,93,9.523809523809526
jrzaurin/pytorch-widedeep,Natural Language Processing,32158,1377,965,10,large,11,129,57,25,124,189,69,4,0,23,130,18,56,55,0,64,31,12,0,3,1000,31.096461222712854
junyanz/pytorch-CycleGAN-and-pix2pix,Computer Vision,2037,24516,535,59,small,8,29,1,11,9,8,4,0,0,2,43,1,3,2,0,6,11,0,0,0,138,67.74668630338734
kakao/buffalo,Domain-Specific Applications,6686,578,580,22,small,20,87,57,32,16,3,23,0,0,1,76,2,17,16,7,9,11,21,26,6,430,64.31349087645827
kaushaltrivedi/fast-bert,Natural Language Processing,9128,1905,346,27,small,49,4,1,10,69,2,43,0,0,12,4,0,28,26,0,17,1,10,0,2,278,30.455740578439965
keras-team/autokeras,ML Frameworks / Libraries,7356,9269,1394,131,small,32,10,9,13,18,22,4,0,0,2,2,4,8,5,13,2,0,13,0,0,157,21.343121261555194
keras-team/keras-tuner,ML Frameworks / Libraries,10943,2903,1087,57,medium,33,191,233,27,39,4,6,0,0,8,6,40,12,4,7,1,0,16,0,1,628,57.388284748240885
kermitt2/delft,Natural Language Processing,11351,404,942,5,medium,43,8,15,40,70,277,74,4,0,13,42,0,28,52,3,21,8,0,11,12,721,63.518632719584176
kermitt2/grobid,Reinforcement Learning,293,4335,3832,49,small,0,0,0,0,0,8,1,0,0,0,0,0,0,7,0,0,0,0,0,0,16,54.60750853242321
KevinMusgrave/pytorch-metric-learning,Computer Vision,15569,6232,1309,38,medium,24,5,1,62,78,2,92,3,0,7,89,16,22,21,0,12,6,23,2,0,465,29.867043483846103
kipoi/kipoi,Domain-Specific Applications,9782,238,1333,19,small,21,13,79,4,23,90,16,1,1,40,1,2,53,60,52,5,15,9,3,0,488,49.88754855857698
koaning/scikit-lego,Data Science / Traditional ML,10542,1360,569,60,medium,98,42,23,6,26,171,5,26,1,6,167,0,10,40,6,16,0,4,3,2,652,61.84784670840448
kornia/kornia,Computer Vision,84657,10774,2965,289,large,302,1,215,1520,462,216,223,27,1,64,113,449,77,3,340,65,712,94,14,1,4899,57.86881179347248
kubeflow/examples,MLOps / Deployment,11038,1447,544,93,medium,10,104,9,10,25,48,22,0,0,33,1,0,0,21,35,4,1,6,6,8,343,31.07447001268346
kubeflow/katib,MLOps / Deployment,15845,1628,1361,135,medium,28,98,123,89,67,22,19,2,0,14,20,0,30,18,345,39,29,1,21,6,971,61.28116124960555
kubeflow/kfserving,MLOps / Deployment,62085,4593,1896,294,large,82,136,159,260,145,211,58,13,0,247,17,0,178,265,29,98,15,25,36,0,1974,31.79511959410486
kubeflow/pipelines,MLOps / Deployment,110404,3954,6514,456,large,653,510,772,325,378,197,208,12,4,94,149,1,192,506,110,82,141,1,84,493,4912,44.491141625303435
kubeflow-kale/kale,MLOps / Deployment,6510,640,649,8,small,71,11,13,11,14,4,11,0,0,22,4,1,9,7,44,2,1,6,0,13,244,37.48079877112135
l3p-cv/lost,Computer Vision,15154,572,2908,12,medium,20,6,1,181,17,87,20,19,11,130,0,0,188,36,30,9,7,0,21,3,786,51.86749373102811
lab-ml/labml,ML Frameworks / Libraries,16420,2232,2362,8,medium,59,32,18,12,9,8,7,1,0,88,21,10,77,43,8,25,2,21,16,3,460,28.014616321559075
learnables/cherry,Reinforcement Learning,11180,199,415,9,medium,18,4,30,9,24,30,36,2,0,8,9,31,6,44,9,15,7,14,0,0,296,26.475849731663683
limbo018/DREAMPlace,ML Frameworks / Libraries,14304,866,787,24,medium,51,11,0,58,95,62,73,9,0,12,49,264,21,73,2,30,6,63,8,3,890,62.22035794183446
lsds/KungFu,ML Frameworks / Libraries,7566,298,384,7,small,42,266,17,6,10,30,13,0,0,18,27,3,28,30,38,3,1,1,0,6,539,71.23975680676712
