GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community,Continuous Integration,Documentation,History,Issues,License,Unit Testing,Last Commit Date,Branch Count,Contributor Count,Composite Score,domain,match_score,domain_description,domain_topics,Project Size,Created Date
tensorflow/privacy,Y,1985,899,30114,The source code of this project has been organised into different modules in a way that shows the relationship between different files. https://github.com/tensorflow/privacy/tree/master/tensorflow_privacy/privacy,"6 has significantly more commits than others, but 26contributers",X CI is not used on the project.,X Most of the functions in the source code are not documented.,"Recent, Commit activity not negligible",22 open < 66 closed,License provided,X Doesn't seem to have unit test,2025-06-13,25,56,2743.7,ML Frameworks / Libraries,3,Library for training machine learning models with privacy for training data,"machine-learning, privacy",large,2018-12-21T18:46:46Z
TheAlgorithms/Python,Y,209443,3597,46108,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/TheAlgorithms/Python/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,Most of the functions in the source code are not documented.,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/TheAlgorithms/Python/issues/1919 and https://github.com/TheAlgorithms/Python/issues/2153, a lot of spam issues in this project by random users",https://github.com/TheAlgorithms/Python/blob/master/LICENSE.md is provided.,There is no evidence of any testing done on the project.,2025-09-24,10,1217,121366.30000000002,ML Frameworks / Libraries,1,All Algorithms implemented in Python,"algorithm, algorithm-competitions, algorithms-implemented, algos, community-driven, education, hacktoberfest, interview, learn, practice, python, searches, sorting-algorithms, sorts",large,2016-07-16T09:44:01Z
thu-ml/tianshou,Y,8802,1175,35503,Organised but not in modules,"1 has significantly more commits than others, but 19 contributers",X CI is not used on the project.,Documentation provided,"Recent, Commit activity not negligible",16 open < 47 closed,License provided,A number of tests,2025-09-06,13,77,6183.3,Reinforcement Learning,6,An elegant PyTorch deep reinforcement learning library.,"a2c, atari, bcq, cql, ddpg, double-dqn, dqn, drl, imitation-learning, mujoco, npg, policy-gradient, ppo, pytorch, rl, sac, td3, transferlab, trpo",large,2018-04-16T22:47:38Z
uber/ludwig,Y,11590,3861,95376,Organised but not in modules,"1 has significantly more commits than others, but 71 contributers",Travis used,Documentation provided,"Recent, Commit activity not negligible",82 open << 337 closed,License provided,A number,2024-10-17,243,148,10234.3,MLOps / Deployment,4,"Low-code framework for building custom LLMs, neural networks, and other AI models","computer-vision, data-centric, data-science, deep, deep-learning, deeplearning, fine-tuning, learning, llama, llama2, llm, llm-training, machine-learning, machinelearning, mistral, ml, natural-language, natural-language-processing, neural-network, pytorch",large,2018-12-27T23:58:12Z
UKPLab/sentence-transformers,Y,17603,2375,39022,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/UKPLab/sentence-transformers/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Evidence of sustained commit activity but not very stable,"The project maintainers respond to issues, as evidenced by https://github.com/UKPLab/sentence-transformers/issues/282 and https://github.com/UKPLab/sentence-transformers/issues/239 but a lot issues left open",https://github.com/TheAlgorithms/Python/blob/master/LICENSE.md is provided.,There are many files related to testing,2025-09-26,16,226,14533.7,Natural Language Processing,3,State-of-the-Art Text Embeddings,,large,2019-07-24T10:53:51Z
Unity-Technologies/ml-agents,Y,18685,3541,27918,The source code of this project has been organised into different modules in a way that shows the relationship between different files but quite messy,https://github.com/Unity-Technologies/ml-agents/graphs/contributors shows that there are multiple contributors,The project uses Circle CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/Unity-Technologies/ml-agents/issues/4141 and https://github.com/Unity-Technologies/ml-agents/issues/4112",https://github.com/Unity-Technologies/ml-agents/blob/master/LICENSE is provided.,There are files related to testing,2025-09-17,447,146,12916.3,Reinforcement Learning,4,The Unity Machine Learning Agents Toolkit (ML-Agents) is an open-source project that enables games and simulations to serve as environments for training intelligent agents using deep reinforcement learning and imitation learning.,"deep-learning, deep-reinforcement-learning, machine-learning, neural-networks, reinforcement-learning, unity, unity3d",large,2017-09-08T21:09:04Z
vaexio/vaex,Y,8432,3712,63938,Organised but not in modules,"1 has significantly more commits than others, but 23 contributers",Travis used,Documentation provided,Commit activity not negligible,154 open < 291 closed,License provided,There are many files related to testing. https://github.com/tensorflow/io/tree/master/tests,2025-09-03,271,65,6436.4,Data Science / Traditional ML,7,"Out-of-Core hybrid Apache Arrow/NumPy DataFrame for Python, ML, visualization and exploration of big tabular data at a billion rows per second 🚀","bigdata, data-science, dataframe, hdf5, machine-learning, machinelearning, memory-mapped-file, pyarrow, python, tabular-data, visualization",large,2014-09-27T09:44:42Z
VertaAI/modeldb,Y,1740,4114,111928,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/VertaAI/modeldb/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/VertaAI/modeldb/issues/564 and https://github.com/VertaAI/modeldb/issues/259 but a lot issues left open",https://github.com/VertaAI/modeldb/blob/master/DEPLOY.md is provided.,There are many files related to testing,2024-04-25,689,49,3400.2,MLOps / Deployment,5,"Open Source ML Model Versioning, Metadata, and Experiment Management","machine-learning, mit, model-management, model-versioning, modeldb, verta",large,2016-10-19T01:07:26Z
wandb/client,Y,10367,8446,217482,The source code of this project has been organised into different modules,about 11 active contributors,CircleCI used,Documentation provided,"Recent, Commit activity not negligible",207 open < 354 closed,License provided,There are many files related to testing. https://github.com/tensorflow/io/tree/master/tests,2025-09-27,1629,200,12680.6,ML Frameworks / Libraries,4,"The AI developer platform. Use Weights & Biases to train and fine-tune models, and manage models from experimentation to production.","ai, collaboration, data-science, data-versioning, deep-learning, experiment-track, hyperparameter-optimization, hyperparameter-search, hyperparameter-tuning, jax, keras, machine-learning, ml-platform, mlops, model-versioning, pytorch, reinforcement-learning, reproducibility, tensorflow",large,2017-03-24T05:46:23Z
x4nth055/pythoncode-tutorials,N,2913,641,41945,The source code of this project has been organised into different modules in a way that shows the relationship between different files. https://github.com/tensorflow/privacy/tree/master/tensorflow_privacy/privacy,X There are no contributors to the project other than the author.,X CI is not used on the project.,Tutorials provided,"Recent, Commit activity not negligible",5 open < 7 closed,License provided,X Doesn't seem to have unit test,2025-09-28,15,14,1777.5,Natural Language Processing,3,The Python Code Tutorials,"computer-vision, ethical-hacking, face-detection, machine-learning, natural-language-processing, network-analysis, network-programming, network-security, programming-tutorial, python, python-tutorials, python3, scapy, scapy-tutorials, socket-programming, text-classification, tutorials, web-scraping",large,2019-07-29T12:35:40Z
XanaduAI/pennylane,Y,2824,6011,350353,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/XanaduAI/pennylane/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/XanaduAI/pennylane/issues/661 and https://github.com/XanaduAI/pennylane/issues/533",https://github.com/XanaduAI/pennylane/blob/master/LICENSE is provided.,There are many files related to testing,2025-09-26,407,200,8932.9,ML Frameworks / Libraries,5,"PennyLane is a cross-platform Python library for quantum computing, quantum machine learning, and quantum chemistry. Built by researchers, for research. ","autograd, automatic-differentiation, cirq, deep-learning, differentiable-computing, hacktoberfest, jax, machine-learning, neural-network, optimization, python, pytorch, qiskit, qml, quantum, quantum-chemistry, quantum-computing, quantum-machine-learning, strawberryfields, tensorflow",large,2018-04-17T16:45:42Z
