GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community,Continuous Integration,Documentation,History,Issues,License,Unit Testing,Last Commit Date
sergionr2/RacingRobot,Y,226,301,1629,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/sergionr2/RacingRobot/graphs/contributors,No indications of using CI services,"There is a well maintained README, codes are well documented",No commits the past month,"More open than closed, author seldom replies",https://github.com/sergionr2/RacingRobot/blob/master/LICENSE,There are many files related to testing,2020-05-24
ShangtongZhang/DeepRL,N,3349,480,3019,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/ShangtongZhang/DeepRL/graphs/contributors that there are multiple contributors but mainly 1,CI is not used on the project.,Most of the functions in the source code are not documented.,No evidence of sustained commit activity,"The project maintainers (mainly author) respond to issues, as evidenced by https://github.com/ShangtongZhang/DeepRL/issues/82 and https://github.com/ShangtongZhang/DeepRL/issues/81",https://github.com/ShangtongZhang/DeepRL/blob/master/LICENSE is provided.,There is no evidence of any testing done on the project.,2024-04-16
shibing624/pycorrector,Y,6185,949,16949,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/shibing624/pycorrector/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author responds frequently",https://github.com/shibing624/pycorrector/blob/master/LICENSE,There are many files related to testing,2025-09-08
shibing624/python-tutorial,N,2290,186,915,It's a collection of tutorials,One contributor,No indications of using CI services,There is a README,Some commits the past month,"One open issue, author replied",https://github.com/shibing624/python-tutorial/blob/master/LICENSE,There is no evidence of any testing done on the project.,2023-03-05
sigopt/sigopt-examples,Y,201,601,5255,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,"Multiple contributors, each with contribution that is not negligible https://github.com/sigopt/sigopt-examples/graphs/contributors",Travis used,Documentation for each module,Commits are quite spread out,2 still open << 6 closed,License provided,X Doesn't seem to have unit test,2024-04-29
silvandeleemput/memcnn,Y,255,289,2751,X Not much,X 1-2 active contributers,CircleCI used,Documentation provided,Commit activity not negligible,4 open << 35 closed,License provided,X Doesn't seem to have unit test,2023-05-10
sisl/NeuralVerification.jl,Y,232,932,61,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,1-3 active contributers,Travis used,Most of the functions in the source code are not documented.,Commits are quite spread out,27 open < 36 closed,License provided,There are many files related to testing.,2025-05-01
SkalskiP/ILearnDeepLearning.py,N,1384,203,1538,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/SkalskiP/ILearnDeepLearning.py/graphs/contributors that there are multiple contributors but mainly 1,CI is not used on the project.,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project maintainers (mainly author) respond to issues, as evidenced by https://github.com/SkalskiP/ILearnDeepLearning.py/issues/26 and https://github.com/SkalskiP/ILearnDeepLearning.py/issues/3",https://github.com/SkalskiP/ILearnDeepLearning.py/blob/master/LICENSE.md is provided.,There are many files related to testing but its everywhere,2023-12-10
skorch-dev/skorch,Y,6113,1123,20587,X The source code of the project exists as ad-hoc scripts.,"4-6 active contributers, 33 contributers in total",Travis used,Documentation not negligible,Commit activity not negligible,45 open << 266 closed,License provided,X Doesn't seem to have unit test,2025-08-15
slundberg/shap,Y,24462,2867,23375,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,"1 has significantly more commits than others, but 87 contributers",Travis used,Documentation provided,Commit activity not negligible,643 open >> 428 closed,License provided,A number of tests,2025-09-26
snap-stanford/ogb,N,2036,679,21473,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,1-3 active contributers out of 7,X CI is not used on the project.,Documentation provided,"Recent, Commit activity not negligible",1 open <<< 32 closed,License provided,X Doesn't seem to have unit test,2025-05-06
snipsco/tract,Y,2601,8101,1472,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,"1 has significantly more commits than others, but 14 contributers",Travis used,Documentation provided,"Recent, Commit activity not negligible",13 open < 28 closed,License provided,X Doesn't seem to have unit test,2025-09-26
snorkel-team/snorkel,Y,5918,2693,7633,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,4 active contributors out of 52,Travis used,Documentation provided mostly in links,Commits are quite spread out,27 open << 880 closed,License provided,There are many files related to testing.,2024-02-27
songlab-cal/tape,N,719,344,4763,X The source code of the project exists as ad-hoc scripts.,X Author has 286 commits while the other 2 has 1 each,X CI is not used on the project.,Documentation provided,"Recent, Commit activity not negligible",14 open < 34 closed,License provided,X 2 tests,2021-09-07
SPFlow/SPFlow,Y,304,650,16505,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/SPFlow/SPFlow/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/SPFlow/SPFlow/issues/78 and https://github.com/SPFlow/SPFlow/issues/58 but not often",https://github.com/SPFlow/SPFlow/blob/master/LICENSE.md is provided.,There is no evidence of any testing done on the project.,2025-04-04
spmallick/learnopencv,N,22329,2608,120110,"Many folders, each have a few files inside",4 active contributors our of 17,X CI is not used on the project.,Documentation provided mostly in links,"Recent, Commit activity not negligible",146 open >> 43 closed,License provided,X Doesn't seem to have unit test,2025-09-23
spotify/zoltar,Y,142,505,99,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,11 active contributors our of 42,X CI is not used on the project.,Documentation provided https://github.com/spotify/zoltar/tree/master/docs/src,Commit activity not negligible,17 open < 49 closed,License provided,A number of tests,2023-02-18
SpursLipu/YOLOv3-ModelCompression-MultidatasetTraining-Multibackbone,N,444,438,10754,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,There are no contributors to the project other than the author.,CI is not used on the project.,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project maintainers (mainly author) respond to issues, as evidenced by https://github.com/SpursLipu/YOLOv3v4-ModelCompression-MultidatasetTraining-Multibackbone/issues/21 and https://github.com/SpursLipu/YOLOv3v4-ModelCompression-MultidatasetTraining-Multibackbone/issues/29","There is no license to be found, either in the form of a license file or written inside the source code file.",Only 1 test file,2022-05-15
sql-machine-learning/elasticdl,Y,743,1829,21950,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,14 active contributors out of 18,Travis used,Documentation provided,"Recent, Commit activity not negligible",101 open << 641 closed,License provided,Tests contained,2024-01-26
sshuair/torchsat,Y,397,110,5250,Organised here https://github.com/sshuair/torchsat/tree/master/torchsat,X There are no contributors to the project other than the author.,X CI is not used on the project.,Documentation provided mostly in links,"Recent, Commit activity not negligible","3 open, 4 closed",License provided,4 tests,2020-06-20
stanfordnlp/stanza,Y,7607,4785,51429,X The source code of the project exists as ad-hoc scripts.,6 active contributors out of 18,Travis used,Documentation provided mostly in links,Commit activity not negligible,36 open << 260 closed,License provided,Quite a number of tests,2024-12-24
StanfordVL/MinkowskiEngine,Y,2778,531,12760,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/StanfordVL/MinkowskiEngine/graphs/contributors shows that there are multiple contributors but mainly 1,CI is not used on the project.,There is a well-maintained documentation,Evidence of sustained commit activity but seems to commits number seems to be falling,"The project maintainers respond to issues, as evidenced by https://github.com/SeldonIO/seldon-core/issues/2068 and https://github.com/SeldonIO/seldon-core/issues/2048",https://github.com/StanfordVL/MinkowskiEngine/blob/master/LICENSE is provided.,There are many files related to testing,2023-03-22
stellargraph/stellargraph,Y,3026,2535,27496,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,13 active contributors out of 24,X CI is not used on the project.,Documentation provided mostly in links,"Recent, Commit activity not negligible",202 open << 650 closed,License provided,Quite a number of tests,2021-10-29
stephenhky/PyShortTextCategorization,Y,472,1539,2590,"Many folders, each have a few files inside in https://github.com/stephenhky/PyShortTextCategorization/tree/master/shorttext","1 has significantly more commits than others, but 5 contributers",Travis used,Documentation mostly in links,Commit activity not negligible,6 open << 32 closed,License provided,A number of tests,2025-09-19
streamlit/streamlit,Y,41585,8344,113797,Organised but not in modules,"2 have significantly more commits than others, but 51 contributers",CircleCI used,Documentation provided,"Recent, Commit activity not negligible",387 open < 608 closed,License provided,A number of tests https://github.com/streamlit/streamlit/tree/develop/lib/tests,2025-09-26
studioml/studio,Y,380,2412,12169,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,"1 has significantly more commits than others, but 5 contributers",Travis used,Documentation mostly in links,Commit activity not negligible,55 open << 179 closed,License provided,There are many files related to testing.,2023-09-06
Sujit-O/pykg2vec,Y,617,1402,4641,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/Sujit-O/pykg2vec/graphs/contributors shows that there are multiple contributors,The project uses Travis and Circle CI,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/StanfordVL/MinkowskiEngine/issues/150 and https://github.com/StanfordVL/MinkowskiEngine/issues/165",https://github.com/Sujit-O/pykg2vec/blob/master/LICENSE is provided.,There are many files related to testing,2021-04-21
SurrealAI/surreal,Y,490,1418,9429,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/SurrealAI/surreal/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,No evidence of sustained commit activity,Issues tab disabled but maintainers do respond to pull requests,https://github.com/SurrealAI/surreal/blob/master/LICENSE is provided.,There are files related to testing but not much,2020-05-05
swechhachoudhary/Handwriting-synthesis,N,252,150,1305,Organised but not in modules,X There are no contributors to the project other than the author.,X CI is not used on the project.,X not much,Most activity was last year,"1 open, none closed",License provided,Few tests,2020-12-10
taehoonlee/tensornets,Y,1002,284,9404,Organised but not in modules,X Author has 267 commits while the other 4 has 1-2 each,Travis used,Documentation provided,"Recent, Commit activity not negligible",14 open < 42 closed,License provided,Few tests,2021-01-02
TAMU-VITA/DeblurGANv2,N,1143,133,2268,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/TAMU-VITA/DeblurGANv2/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,Most of the functions in the source code are not documented.,No evidence of sustained commit activity,Did not reply to this year's issues and questions,https://github.com/TAMU-VITA/DeblurGANv2/blob/master/LICENSE is provided.,There are files related to testing but not much,2022-07-14
TarrySingh/Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials,N,3911,1406,186758,Organized into projects where each project source code exists as ad-hoc scripts.,There are no contributors to the project other than the author.,The project uses Travis CI,There is a well-maintained documentation,No evidence of sustained commit activity,The author of the project does not reply to issues or close them.,https://github.com/TarrySingh/Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials/blob/master/LICENSE is provided.,There are many projects in this git and some of them have test files,2025-03-19
tech-srl/code2vec,N,1144,166,2345,X The source code of the project exists as ad-hoc scripts.,"2 have significantly more commits than others, but 10 contributers",X CI is not used on the project.,Documentation provided,Commit activity not negligible,2 open << 73 closed,License provided,Few tests,2023-09-20
tensorflow/addons,Y,1707,1519,28322,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,"2 have significantly more commits than others, but 103 contributers",X CI is not used on the project.,Documentation provided,"Recent, Commit activity not negligible",113 open < 473 closed,License provided,Few tests https://github.com/tensorflow/addons/tree/master/tools/testing,2024-04-15
tensorflow/cleverhans,Y,6365,3203,31102,Organised but not in modules,"2 have significantly more commits than others, but 93 contributers",Travis used,Documentation provided,Commit activity not negligible,48 open << 371 closed,License provided,Quite a number of tests,2023-01-31
tensorflow/compression,Y,899,303,9288,Organised but not in modules,"2-3 have significantly more commits than others, but 15 contributers",X CI is not used on the project.,Documentation provided,"Recent, Commit activity not negligible",4 open << 37 closed,License provided,X Doesn't seem to have unit test,2025-08-19
tensorflow/data-validation,Y,773,995,28157,Organised but not in modules,"2 have significantly more commits than others, but 4 contributers",X CI is not used on the project.,Documentation provided,"Recent, Commit activity not negligible",34 open < 62 closed,License provided,X 1 integration test https://github.com/tensorflow/data-validation/tree/master/tensorflow_data_validation/integration_tests,2025-06-23
tensorflow/examples,N,8185,2187,31727,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,"1 has significantly more commits than others, but 177 contributers",X CI is not used on the project.,Documentation provided,"Recent, Commit activity not negligible",46 open < 180 closed,License provided,X Doesn't seem to have unit test,2025-08-21
tensorflow/fairness-indicators,Y,353,397,1520,2 modules,"2 have significantly more commits than others, but 11 contributers",X CI is not used on the project.,Documentation provided,"Recent, Commit activity not negligible",all closed,License provided,X Doesn't seem to have unit test,2025-08-04
tensorflow/federated,Y,2397,5691,96954,X The source code of the project exists as ad-hoc scripts.,"4 have significantly more commits than others, but 53 contributers",X CI is not used on the project.,Documentation provided,"Recent, Commit activity not negligible",21 open < 142 closed,License provided,X Doesn't seem to have unit test,2025-09-28
tensorflow/graphics,Y,2781,770,33411,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,"1 has significantly more commits than others, but 20contributers",X CI is not used on the project.,Documentation provided,"Recent, Commit activity not negligible",40 open < 74 closed,License provided,A number of tests https://github.com/tensorflow/graphics/tree/master/tensorflow_graphics/util/tests,2025-02-03
tensorflow/io,Y,731,1700,26222,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,"1 has significantly more commits than others, but 20 contributers",X CI is not used on the project.,Documentation provided,"Recent, Commit activity not negligible",100 open < 213 closed,License provided,There are many files related to testing. https://github.com/tensorflow/io/tree/master/tests,2025-04-10
tensorflow/lucid,Y,4699,667,7378,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,"3 have significantly more commits than others, but 27 contributers",Travis used,Documentation provided,Commit activity not negligible,57 open < 92 closed,License provided,There are many files related to testing. https://github.com/tensorflow/io/tree/master/tests,2021-03-19
tensorflow/mesh,Y,1615,658,25010,A few folders,"1 has significantly more commits than others, but 29 contributers",X CI is not used on the project.,Documentation provided,Commit activity not negligible,31 open < 9 closed,License provided,A number of tests https://github.com/tensorflow/graphics/tree/master/tensorflow_graphics/util/tests,2023-11-17
tensorflow/model-analysis,Y,1267,1570,49874,Organised but not in modules,"2 has significantly more commits than others, but 28 contributers",X CI is not used on the project.,Documentation provided,"Recent, Commit activity not negligible",14 open < 20 closed,License provided,A number of tests https://github.com/tensorflow/graphics/tree/master/tensorflow_graphics/util/tests,2025-08-06
tensorflow/models,N,77643,9655,379080,Organised but not in modules,"100 contributers, most significant",X CI is not used on the project.,X Most of the functions in the source code are not documented.,"Recent, Commit activity not negligible",820 open << 4647 closed,License provided,Few tests https://github.com/tensorflow/models/tree/master/official/utils/testing/scripts,2025-09-27
tensorflow/privacy,Y,1985,899,30114,The source code of this project has been organised into different modules in a way that shows the relationship between different files. https://github.com/tensorflow/privacy/tree/master/tensorflow_privacy/privacy,"6 has significantly more commits than others, but 26contributers",X CI is not used on the project.,X Most of the functions in the source code are not documented.,"Recent, Commit activity not negligible",22 open < 66 closed,License provided,X Doesn't seem to have unit test,2025-06-13
tensorflow/quantum,Y,2017,934,15821,Organised but not in modules,"2 have significantly more commits than others, but 16 contributers",X CI is not used on the project.,X Most of the functions in the source code are not documented.,"Recent, Commit activity not negligible",36 open < 61 closed,License provided,A number of tests https://github.com/tensorflow/quantum/tree/master/benchmarks/scripts,2025-09-14
tensorflow/ranking,Y,2781,556,21292,"Organised but not in modules, not many files too","3 have significantly more commits than others, but 15 contributers",X CI is not used on the project.,X Most of the functions in the source code are not documented.,Commit activity not negligible,13 open < 176 closed,License provided,Quite a number of tests https://github.com/tensorflow/ranking/tree/master/tensorflow_ranking/python,2024-03-18
tensorflow/serving,Y,6325,9171,2292,Organised but not in modules,"1 has significantly more commits than others, but 100 contributers",X CI is not used on the project.,X Most of the functions in the source code are not documented.,Commit activity not negligible,67 open << 1086 closed,License provided,X 2 tests https://github.com/tensorflow/serving/tree/master/tensorflow_serving/test_util,2025-09-26
tensorflow/tcav,Y,646,171,2100,X The source code of the project exists as ad-hoc scripts.,"2 have significantly more commits than others, but 10 contributers",X CI is not used on the project.,X Most of the functions in the source code are not documented.,Commit activity not negligible,2 open << 31 closed,License provided,X Doesn't seem to have unit test,2021-09-16
tensorflow/text,N,1273,922,18446,"Organised but not in modules, not many files too","1 has significantly more commits than others, but 23 contributers",X CI is not used on the project.,X Most of the functions in the source code are not documented.,"Recent, Commit activity not negligible",20 open < 50 closed,License provided,X few test,2025-08-18
tensorflow/tfjs,Y,18968,6112,12161,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,"100 contributers, most significant",X CI is not used on the project.,Documentation mostly in links,"Recent, Commit activity not negligible",376 open << 1828 closed,License provided,Have,2025-06-06
tensorforce/tensorforce,Y,3316,2116,22423,Organised but not in modules,"3 have significantly more commits than others, but 59 contributers",Travis used,Documentation mostly in links,Commit activity not negligible,11 open < 490 closed,License provided,Quite a number of tests https://github.com/tensorforce/tensorforce/tree/master/test,2024-07-31
tensorlayer/hyperpose,Y,1263,538,8411,Organised but not in modules,"2 have significantly more commits than others, but 14 contributers",X CI is not used on the project.,X not much,Commit activity not negligible,6 open << 120 closed,"X There is no license to be found, either in the form of a license file or written inside the source code file.",X Doesn't seem to have unit test,2021-11-13
tensorlayer/RLzoo,Y,640,346,8119,Organised but not in modules,"2 have significantly more commits than others, but 5contributers",X CI is not used on the project.,Documentation mostly in links,"Recent, Commit activity not negligible",2 open < 9closed,License provided,X Doesn't seem to have unit test,2022-12-15
tensorlayer/tensorlayer,Y,7374,3353,28813,Organised but not in modules,"1 has significantly more commits than others, but 84 contributers",Travis used,Documentation provided,Commit activity not negligible,34 open < 403 closed,License provided,Quite a number of tests https://github.com/tensorforce/tensorforce/tree/master/test,2023-02-18
tensorpack/tensorpack,Y,6303,2944,24811,The source code of this project has been organised into different modules in a way that shows the relationship between different files. https://github.com/tensorflow/privacy/tree/master/tensorflow_privacy/privacy,"2 has significantly more commits than others, but 53 contributers",X CI is not used on the project.,Documentation provided,Commit activity not negligible,7 open << 1k+ closed,License provided,A number of tests https://github.com/tensorpack/tensorpack/tree/master/tests,2023-08-06
tensorwerk/hangar-py,Y,205,616,25556,The source code of this project has been organised into different modules in a way that shows the relationship between different files. https://github.com/tensorflow/privacy/tree/master/tensorflow_privacy/privacy,"1 has significantly more commits than others, but 5contributers",Travis used,Documentation provided,Commit activity not negligible,19 open < 44 closed,License provided,Quite a number of tests https://github.com/tensorwerk/hangar-py/tree/master/tests,2020-09-02
Tessellate-Imaging/Monk_Object_Detection,Y,641,772,322272,Organized into projects where each project source code exists as ad-hoc scripts.,https://github.com/Tessellate-Imaging/Monk_Object_Detection/graphs/contributors shows that there are multiple contributors but mainly 1,CI is not used on the project.,There is a well-maintained documentation,Evidence of sustained commit activity but not very stable,"The project maintainers respond to issues, as evidenced by https://github.com/Tessellate-Imaging/Monk_Object_Detection/issues/37 and https://github.com/Tessellate-Imaging/Monk_Object_Detection/issues/32 but not often",https://github.com/Tessellate-Imaging/Monk_Object_Detection/blob/master/LICENSE.md is provided.,There are many projects in this git and some of them have test files,2020-11-24
Tessellate-Imaging/monk_v1,Y,582,600,59957,Organized into projects where each project source code have been organised into different modules in a way that shows the relationship between different files.,https://github.com/Tessellate-Imaging/monk_v1/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers (mainly 1 person) respond to issues, as evidenced by https://github.com/Tessellate-Imaging/monk_v1/issues/75 and https://github.com/Tessellate-Imaging/monk_v1/issues/33",https://github.com/Tessellate-Imaging/monk_v1/blob/master/LICENSE.md is provided.,There are many files related to testing,2020-10-28
tf-encrypted/tf-encrypted,Y,1235,605,22814,Organised but not in modules,"1 has significantly more commits than others, but 24 contributers",CircleCI used,Documentation provided,Commit activity not negligible,155 open < 222 closed,License provided,Quite a number of tests,2024-09-25
TheAlgorithms/Python,Y,209443,3597,46108,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/TheAlgorithms/Python/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,Most of the functions in the source code are not documented.,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/TheAlgorithms/Python/issues/1919 and https://github.com/TheAlgorithms/Python/issues/2153, a lot of spam issues in this project by random users",https://github.com/TheAlgorithms/Python/blob/master/LICENSE.md is provided.,There is no evidence of any testing done on the project.,2025-09-24
THUDM/cogdl,Y,1800,486,36153,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/THUDM/cogdl/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Only until recent 2 months with evidence of sustained commits,"The project maintainers respond to issues, as evidenced by https://github.com/THUDM/cogdl/issues/23 and https://github.com/THUDM/cogdl/issues/11",https://github.com/THUDM/cogdl/blob/master/LICENSE is provided.,There are many files related to testing,2023-11-08
thu-ml/tianshou,Y,8802,1175,35503,Organised but not in modules,"1 has significantly more commits than others, but 19 contributers",X CI is not used on the project.,Documentation provided,"Recent, Commit activity not negligible",16 open < 47 closed,License provided,A number of tests,2025-09-06
thunlp/OpenNRE,N,4429,177,3137,Organised but not in modules,"1 has significantly more commits than others, but 5 contributers",X CI is not used on the project.,X not much,Commit activity not negligible,all closed,License provided,X 1 test https://github.com/thunlp/OpenNRE/tree/master/tests,2024-01-10
Tianxiaomo/pytorch-YOLOv4,N,4521,261,4678,The source code of the project exists as ad-hoc scripts.,https://github.com/Tianxiaomo/pytorch-YOLOv4/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/Tianxiaomo/pytorch-YOLOv4/issues/140 and https://github.com/Tianxiaomo/pytorch-YOLOv4/issues/134",https://github.com/Tianxiaomo/pytorch-YOLOv4/blob/master/License.txt is provided.,There is no evidence of any testing done on the project.,2021-12-12
tianzhi0549/FCOS,Y,3336,296,11314,Organised but not in modules,"1 has significantly more commits than others, but 63 contributers",X CI is not used on the project.,X Most of the functions in the source code are not documented.,Commits are quite spread out,116 open < 157 closed,License provided,Quite a number of tests,2023-12-09
Tiiiger/QPyTorch,Y,285,246,3868,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/Tiiiger/QPyTorch/graphs/contributors shows that there are multiple contributors but mainly 1,CI is not used on the project.,There is a well-maintained documentation,No evidence of sustained commit activity,"The project author respond to issues, as evidenced by https://github.com/Tiiiger/QPyTorch/issues/31 and https://github.com/Tiiiger/QPyTorch/issues/21",https://github.com/Tiiiger/QPyTorch/blob/master/LICENSE is provided.,There are many files related to testing,2024-05-20
timesler/facenet-pytorch,Y,4993,252,1467,Organised but not in modules,"1 has significantly more commits than others, but 7 contributers",Travis used,Documentation mostly in links,Commit activity not negligible,9 open < 56 closed,License provided,X 3 tests,2024-08-02
tirthajyoti/Machine-Learning-with-Python,N,3251,502,1349,The source code of this project has been organised into different modules in a way that shows the relationship between different files. https://github.com/tensorflow/privacy/tree/master/tensorflow_privacy/privacy,"There is 1 contributor other than the author, but 1 commit with 1++ 1-- only",X CI is not used on the project.,Documentation provided,Commits are quite spread out,1 open < 4 closed,License provided,X Doesn't seem to have unit test,2022-09-14
tlatkowski/multihead-siamese-nets,Y,182,152,1360,Organised but not in modules,"There is 1 contributor other than the author, but 1 commit only",Travis used,X not much,Commits are quite spread out,same no. of open as closed,License provided,Few,2023-01-03
tobybreckon/fire-detection-cnn,N,564,266,695,X The source code of the project exists as ad-hoc scripts.,"1-2 has significantly more commits than others, but 4 contributers",X CI is not used on the project.,X Most of the functions in the source code are not documented.,Commits are quite spread out,3 open < 40 closed,License provided,X Doesn't seem to have unit test,2021-04-27
tofunlp/lineflow,Y,181,786,2795,X The source code of the project exists as ad-hoc scripts.,"There is 1 contributor other than the author, but 8 commits only",Travis used,X Most of the functions in the source code are not documented.,Commits are quite spread out,2 open < 29 closed,License provided,Few,2023-03-27
torchgan/torchgan,Y,1426,126,4297,Organised but not in modules,"1 has significantly more commits than others, but 7 contributers",Travis used,Documentation provided,Commits are quite spread out,16 open < 24 closed,License provided,A number of tests,2021-10-19
totalgood/nlpia,Y,630,1045,9716,Organised but not in modules,"1 has significantly more commits than others, but 8 contributers",Travis used,X Have but Most of the functions in the source code are not documented.,"Recent, Commit activity not negligible",4 open < 14 closed,License provided,No,2021-07-17
trekhleb/machine-learning-experiments,N,1763,843,98,The source code of this project has been organised into different modules in a way that shows the relationship between different files. https://github.com/tensorflow/privacy/tree/master/tensorflow_privacy/privacy,X There are no contributors to the project other than the author.,X CI is not used on the project.,X Most of the functions in the source code are not documented.,Quite alot of commits past month,"2 open, none closed",License provided,X Doesn't seem to have unit test,2024-11-12
tristandeleu/pytorch-maml-rl,N,864,227,1710,Organised but not in modules,"1 has significantly more commits than others, but 3 contributers",X CI is not used on the project.,X not much,Quite alot of commits past month,6 open < 27 closed,License provided,X Doesn't seem to have unit test,2020-08-31
tristandeleu/pytorch-meta,Y,2047,382,6259,Organised but not in modules,"1 has significantly more commits than others, but 7 contributers",Travis used,X not much,Commit activity not negligible,9 open < 32 closed,License provided,A number,2021-09-20
tslearn-team/tslearn,Y,3037,1685,10150,X The source code of the project exists as ad-hoc scripts.,"2 has significantly more commits than others, but 23 contributers",X CI is not used on the project.,X not much,Quite alot of commits past month,21 open << 154 closed,License provided,Quite a number of tests,2025-09-26
uber/causalml,Y,5589,653,11144,Organised but not in modules,"2 has significantly more commits than others, but 14contributers",Travis used,Documentation provided,Commits are quite spread out,20 open < 80 closed,License provided,A number,2025-09-26
uber/ludwig,Y,11590,3861,95376,Organised but not in modules,"1 has significantly more commits than others, but 71 contributers",Travis used,Documentation provided,"Recent, Commit activity not negligible",82 open << 337 closed,License provided,A number,2024-10-17
udacity/CarND-Capstone,N,190,122,674,The source code of this project has been organised into different modules in a way that shows the relationship between different files. https://github.com/tensorflow/privacy/tree/master/tensorflow_privacy/privacy,"2 has significantly more commits than others, but 15 contributers",X CI is not used on the project.,X not much,Commit activity not negligible,33 open > 24 closed,License provided,X Doesn't seem to have unit test,2022-09-15
UKPLab/sentence-transformers,Y,17603,2375,39022,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/UKPLab/sentence-transformers/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Evidence of sustained commit activity but not very stable,"The project maintainers respond to issues, as evidenced by https://github.com/UKPLab/sentence-transformers/issues/282 and https://github.com/UKPLab/sentence-transformers/issues/239 but a lot issues left open",https://github.com/TheAlgorithms/Python/blob/master/LICENSE.md is provided.,There are many files related to testing,2025-09-26
ultralytics/xview-yolov3,N,277,932,1899,Organised but not in modules,X There are no contributors to the project other than the author.,X CI is not used on the project.,X not much,Commits are quite spread out,1 open << 21 closed,License provided,X Doesn't seem to have unit test,2025-09-21
ultralytics/yolov3,Y,10457,2899,11096,Organised but not in modules,"1 has significantly more commits than others, but 33 contributers",X CI is not used on the project.,X not much,"Recent, Commit activity not negligible",104 open << 1164 closed,License provided,X 1,2025-08-26
ultralytics/yolov5,Y,55509,2916,11454,Organised but not in modules,"1 has significantly more commits than others, but 11 contributers",X CI is not used on the project.,Tutorials provided,"Recent, Commit activity not negligible",139 open > 105 closed,License provided,X 1,2025-09-21
Unity-Technologies/marathon-envs,Y,311,408,676,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/Unity-Technologies/marathon-envs/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,Most of the functions in the source code are not documented.,Evidence of sustained commit activity but only recently,"The project maintainers respond to issues, as evidenced by https://github.com/Unity-Technologies/marathon-envs/issues/31 and https://github.com/Unity-Technologies/marathon-envs/issues/30",https://github.com/Unity-Technologies/marathon-envs/blob/master/LICENSE is provided.,Only found 1 test file,2020-08-19
