GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community,Continuous Integration,Documentation,History,Issues,License,Unit Testing,Last Commit Date
MITK/MITK,Y,776,46189,55,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/MITK/MITK/graphs/contributors shows that there are multiple contributors,The project uses CTest from CMake,There is a well-maintained documentation,Evidence of sustained commit activity,Issues tab disabled but maintainers do respond to pull requests,https://github.com/MITK/MITK/blob/master/LICENSE is provided.,There are many files related to testing.,2025-08-25
mittagessen/kraken,Y,888,2290,13974,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/mittagessen/kraken/graphs/contributors shows there are multiple contributors but mainly 1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and the majority of the functions in https://github.com/mittagessen/kraken/blob/master/kraken/pageseg.py and https://github.com/mittagessen/kraken/blob/master/kraken/repo.py and https://github.com/mittagessen/kraken/blob/master/kraken/rpred.py have appropriate docstrings",https://github.com/mittagessen/kraken/graphs/commit-activity shows that there have been activties in the past few months consistently,"The project maintainers respond to issues, as evidenced by https://github.com/mittagessen/kraken/issues/214 and https://github.com/mittagessen/kraken/issues/209",https://github.com/mittagessen/kraken/blob/master/LICENSE,There are many files related to testing,2025-09-25
mlflow/mlflow,Y,22264,8857,320527,The source code of this project has been organised into different modules in a way that shows the relationship between different files with ad hoc scripts,https://github.com/mlflow/mlflow/graphs/contributors shows that there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and the majority of the functions in https://github.com/mlflow/mlflow/blob/master/mlflow/models/model.py and https://github.com/mlflow/mlflow/blob/master/mlflow/models/flavor_backend.py and https://github.com/mlflow/mlflow/blob/master/mlflow/tracking/fluent.py have appropriate docstrings",https://github.com/mlflow/mlflow/graphs/commit-activity show that there have been significant amount of activities in the past few months consistently,"The project maintainers respond to issues, as evidenced by https://github.com/mlflow/mlflow/issues/3053 and https://github.com/mlflow/mlflow/issues/3052",https://github.com/mlflow/mlflow/blob/master/LICENSE.txt,There are many files related to testing,2025-09-28
mljar/mljar-supervised,Y,3205,1239,19321,The source code of this project has been organised into different modules in a way that shows the relationship between different files with ad hoc scripts,There are no contributors to the project other than the author,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/mljar/mljar-supervised/graphs/commit-activity shows that there have been some activities in the past months.,"The project maintainers respond to issues, as evidenced by https://github.com/mljar/mljar-supervised/issues/110 and https://github.com/mljar/mljar-supervised/issues/109",https://github.com/mljar/mljar-supervised/blob/master/LICENSE,There are many files related to testing,2025-07-07
mlmed/torchxrayvision,Y,1062,414,6002,The source code of this project has been organised into different modules in a way that shows the relationship between different files with ad hoc scripts,https://github.com/mlmed/torchxrayvision/graphs/contributors shows there are multiple contributors but mainly 1,CI is not used on the project,There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/mlmed/torchxrayvision/graphs/commit-activity shows that there have been some activities in the past months.,"The project maintainers respond to issues, as evidenced by https://github.com/mlmed/torchxrayvision/issues/21 and https://github.com/mlmed/torchxrayvision/issues/13",https://github.com/mlmed/torchxrayvision/blob/master/LICENSE,One test file,2025-09-18
mlperf/inference,N,1467,1824,52082,The source code of the project exists as ad-hoc scripts.,https://github.com/mlperf/inference/graphs/contributors shows that there are multiple contributors,CI is not used on the project,There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/mlperf/inference/graphs/commit-activity shows that there have been some activities in the past months.,"The project maintainers respond to issues, as evidenced by https://github.com/mlperf/inference/issues/640 and https://github.com/mlperf/inference/issues/638",https://github.com/mlperf/inference/blob/master/LICENSE.md,There are many files related to testing,2025-09-24
mlperf/training,N,1715,379,78482,The source code of this project has been organised into different modules in a way that shows the relationship between different files with ad hoc scripts,https://github.com/mlperf/training/graphs/contributors shows that there are multiple contributors,CI is not used on the project,"There is a well-maintained README, and the majority of the functions in https://github.com/mlperf/training/blob/master/image_classification/tensorflow/official/resnet/imagenet_preprocessing.py and https://github.com/mlperf/training/blob/master/recommendation/pytorch/alias_generator.py and https://github.com/mlperf/training/blob/master/image_classification/tensorflow/official/resnet/resnet_model.py have appropriate docstrings",https://github.com/mlperf/training/graphs/commit-activity shows that there have been some activities in the past months.,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/mlperf/training/issues/382 and https://github.com/mlperf/training/issues/373",https://github.com/mlperf/training/blob/master/LICENSE.md,there is no evidence of any testing done on the project.,2025-09-22
mnicnc404/CartoonGan-tensorflow,N,929,343,1737,The source code of the project exists as ad-hoc scripts.,https://github.com/mnicnc404/CartoonGan-tensorflow/graphs/contributors shows there are 2 contributors only,CI is not used on the project,"There is a well-maintained README, and the majority of the functions in https://github.com/mlperf/training/blob/master/image_classification/tensorflow/official/resnet/imagenet_preprocessing.py and https://github.com/mlperf/training/blob/master/recommendation/pytorch/alias_generator.py and https://github.com/mlperf/training/blob/master/image_classification/tensorflow/official/resnet/resnet_model.py have appropriate docstrings",https://github.com/mnicnc404/CartoonGan-tensorflow/graphs/commit-activity shows that there are only 2 commits in the past.,"No longer maintained, there were issued closed like https://github.com/mnicnc404/CartoonGan-tensorflow/issues/36",https://github.com/mnicnc404/CartoonGan-tensorflow/blob/master/LICENSE,there is no evidence of any testing done on the project.,2021-10-17
modernmt/modernmt,Y,348,3406,6156,The source code of this project has been organised into different modules in a way that shows the relationship between different files with ad hoc scripts,https://github.com/modernmt/modernmt/graphs/contributors shows there are multiple contributors but mainly 1,CI is not used on the project,There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/modernmt/modernmt/graphs/commit-activity show that there have been significant amount of activities in the past few months consistently,"The project maintainers respond to issues, as evidenced by https://github.com/modernmt/modernmt/issues/547 and https://github.com/modernmt/modernmt/issues/546",https://github.com/modernmt/modernmt/blob/master/LICENSE,There are many files related to testing,2021-12-18
molecularsets/moses,Y,928,210,4587,The source code of this project has been organised into different modules in a way that shows the relationship between different files with ad hoc scripts,https://github.com/molecularsets/moses/graphs/contributors shows there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/molecularsets/moses/graphs/commit-activity shows that there have been few activities in the past months.,"The project maintainers respond to issues, as evidenced by https://github.com/molecularsets/moses/issues/71 and https://github.com/molecularsets/moses/issues/69",https://github.com/molecularsets/moses/blob/master/LICENSE,There are files related to testing,2023-06-22
