GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community,Continuous Integration,Documentation,History,Issues,License,Unit Testing,Last Commit Date,Branch Count,Contributor Count,domain,age_days,CI_Status
fastai/fastai,Y,27456,2882,14973,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/fastai/fastai/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and documentation at https://github.com/fastai/fastai/tree/master/docs,There is no commit in the past month,"The project maintainers respond to issues, as evidenced by https://github.com/fastai/fastai/issues/2572",https://github.com/fastai/fastai/blob/master/LICENSE is provided,There are many files related to testing.,2025-09-05,3,241,ML Frameworks / Libraries,3007,Yes
f-dangel/backpack,Y,592,1818,16500,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/f-dangel/backpack/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and documentation at https://github.com/f-dangel/backpack/tree/master/docs,Checking https://github.com/f-dangel/backpack/pulse/monthly there has been minor commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/f-dangel/backpack/issues/68",https://github.com/f-dangel/backpack/blob/master/LICENSE.txt is provided,There are many files related to testing.,2024-11-21,10,7,ML Frameworks / Libraries,2337,Yes
feast-dev/feast,Y,6357,4164,98817,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/feast-dev/feast/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and documentation at https://github.com/feast-dev/feast/tree/master/docs,Checking https://github.com/feast-dev/feast/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/feast-dev/feast/issues/835",https://github.com/feast-dev/feast/blob/master/LICENSE is provided,There are many files related to testing.,2025-09-27,271,298,MLOps / Deployment,2550,Yes
FederatedAI/FATE,Y,5973,13850,52191,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/FederatedAI/FATE/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/FederatedAI/FATE/issues/1236 and https://github.com/FederatedAI/FATE/issues/1198",https://github.com/FederatedAI/FATE/blob/master/LICENSE is provided.,There are many files related to testing.,2024-11-19,293,85,MLOps / Deployment,2505,Yes
fepegar/torchio,Y,2273,1800,14026,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/fepegar/torchio/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and documentation at https://github.com/fepegar/torchio/tree/master/docs,Checking https://github.com/fepegar/torchio/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/fepegar/torchio/issues/215",https://github.com/fepegar/torchio/blob/master/LICENSE is provided,There are many files related to testing.,2025-09-22,26,60,Computer Vision,2199,Yes
flairNLP/flair,Y,14297,6684,35868,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/flairNLP/flair/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and documentations at https://github.com/flairNLP/flair/tree/master/resources/docs,Checking https://github.com/flairNLP/flair/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/flairNLP/flair/issues/1744",https://github.com/flairNLP/flair/blob/master/LICENSE is provided,There are many files related to testing.,2025-06-12,125,211,Natural Language Processing,2732,Yes
flatironinstitute/CaImAn,Y,688,4856,24964,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/flatironinstitute/CaImAn/graphs/contributorsshows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and documentations at https://github.com/flatironinstitute/CaImAn/tree/master/docs,Checking https://github.com/flatironinstitute/CaImAn/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/flatironinstitute/CaImAn/issues/780",https://github.com/flatironinstitute/CaImAn/blob/master/LICENSE.txt is provided,There are many files related to testing.,2025-07-17,10,60,Computer Vision,3772,Yes
freewym/espresso,Y,942,2439,141225,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/freewym/espresso/graphs/contributors that there are multiple contributors.,CI is not used on the project.,There is a well maintained README and documentations at https://github.com/freewym/espresso/tree/master/docs,Checking https://github.com/freewym/espresso/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/freewym/espresso/issues/28",https://github.com/freewym/espresso/blob/master/LICENSE is provided,There are many files related to testing.,2024-09-04,3,280,ML Frameworks / Libraries,2559,Yes
FunctionLab/selene,Y,386,860,6352,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/FunctionLab/selene/graphs/contributors shows that there are multiple contributors,The project uses Jenkins CI,There is a well-maintained documentation,No evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/FunctionLab/selene/issues/133 and https://github.com/FunctionLab/selene/issues/130",https://github.com/FunctionLab/selene/blob/master/LICENSE is provided.,There are many files related to testing.,2024-12-16,2,12,Data Science / Traditional ML,3026,Yes
galaxyproject/galaxy,Y,1612,85630,351424,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/galaxyproject/galaxy/graphs/contributors that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and documentations at https://github.com/galaxyproject/galaxy/tree/dev/doc,Checking https://github.com/galaxyproject/galaxy/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/galaxyproject/galaxy/issues/9968",https://github.com/galaxyproject/galaxy/blob/dev/LICENSE.txt is provided,There are many files related to testing.,2025-09-27,56,123,Domain-Specific Applications,3936,Yes
geomstats/geomstats,Y,1405,10874,52651,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/geomstats/geomstats/graphs/contributors that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and documentations at https://github.com/geomstats/geomstats/tree/master/docs,Checking https://github.com/geomstats/geomstats/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/geomstats/geomstats/issues/827",https://github.com/geomstats/geomstats/blob/master/LICENSE.md is provided,There are many files related to testing.,2025-09-26,30,76,ML Frameworks / Libraries,2962,Yes
geoopt/geoopt,Y,987,218,8404,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/geoopt/geoopt/graphs/contributors that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and documentations at https://github.com/geoopt/geoopt/tree/master/docs,Checking https://github.com/geoopt/geoopt/pulse/monthly there has been 6 commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/geoopt/geoopt/issues/136",https://github.com/geoopt/geoopt/blob/master/LICENSE is provided,There are many files related to testing.,2025-08-04,2,10,ML Frameworks / Libraries,2583,Yes
geyang/ml_logger,Y,200,831,4472,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/geyang/ml_logger/graphs/contributors that there are multiple contributors.,CI is not used on the project.,There is a well maintained README and documentations at https://github.com/geyang/ml_logger/tree/master/ml_logger/docs,There is no commit in the past month,"The project maintainers respond to issues, as evidenced by https://github.com/geyang/ml_logger/issues/28",https://github.com/geyang/ml_logger/blob/master/LICENSE.md is provided,There are many files related to testing.,2025-04-21,27,5,Computer Vision,2783,Yes
gjy3035/C-3-Framework,N,723,133,4303,The source code of the project exists as ad-hoc scripts.,https://github.com/gjy3035/C-3-Framework/graphs/contributors that there are multiple contributors.,CI is not used on the project.,Most of the functions in the source code are not documented.,There is no commit in the past month,"The project maintainers respond to issues, as evidenced by https://github.com/gjy3035/C-3-Framework/issues/81",https://github.com/gjy3035/C-3-Framework/blob/python3.x/LICENSE is provided,There are few files related to testing.,2024-03-30,2,6,Computer Vision,2539,No
google/automl,Y,6403,733,22342,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/google/automl/graphs/contributors that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and documentations in https://github.com/google/automl/tree/master/efficientdet/g3doc",Checking https://github.com/google/automl/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/google/automl/issues/572",https://github.com/google/automl/blob/master/LICENSE is provided,There is no evidence of any testing done on the project.,2025-03-02,5,39,Computer Vision,2092,Yes
google/clusterfuzz,Y,5478,3690,106396,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/google/clusterfuzz/graphs/contributors that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and documentations in https://github.com/google/clusterfuzz/tree/master/docs",Checking https://github.com/google/clusterfuzz/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/google/clusterfuzz/issues/1850",https://github.com/google/clusterfuzz/blob/master/LICENSE is provided,There are many files related to testing.,2025-09-26,196,99,MLOps / Deployment,2501,Yes
google/fhir,Y,897,1461,80,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/google/fhir/graphs/contributors that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and documentations in https://github.com/google/fhir/tree/master/py/google/fhir/labels, https://github.com/google/fhir/tree/master/py/google/fhir/models and https://github.com/google/fhir/tree/master/py/google/fhir/seqex",Checking https://github.com/google/fhir/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/google/fhir/issues/13",https://github.com/google/fhir/blob/master/LICENSE is provided,There are many files related to testing.,2025-09-25,12,38,Domain-Specific Applications,2884,No
google/flax,Y,6820,5358,64703,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/google/flax/graphs/contributors that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and documentations in https://github.com/google/flax/tree/master/docs",Checking https://github.com/google/flax/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/google/flax/issues/322",https://github.com/google/flax/blob/master/LICENSE is provided,There are many files related to testing.,2025-09-26,267,258,ML Frameworks / Libraries,2154,Yes
google/ml-metadata,Y,660,909,3619,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/google/ml-metadata/graphs/contributors that there are multiple contributors.,CI is not used on the project.,"There is a well-maintained README, and documentations in https://github.com/google/ml-metadata/tree/master/g3doc",Checking https://github.com/google/ml-metadata/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/google/ml-metadata/issues/42",https://github.com/google/ml-metadata/blob/master/LICENSE is provided,There is no evidence of any testing done on the project.,2025-04-03,30,20,MLOps / Deployment,2514,Yes
google/qkeras,Y,571,451,23397,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/google/qkeras/graphs/contributors that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and majority of the functions in https://github.com/google/qkeras/tree/master/qkeras/autoqkeras and https://github.com/google/qkeras/tree/master/qkeras",Checking https://github.com/google/qkeras/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/google/qkeras/issues/20",https://github.com/google/qkeras/blob/master/LICENSE is provided,There are many files related to testing.,2025-06-13,4,27,ML Frameworks / Libraries,2311,Yes
google/tf-quant-finance,Y,4994,960,50669,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/google/tf-quant-finance/graphs/contributors that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and majority of the functions in https://github.com/google/tf-quant-finance/tree/master/tf_quant_finance and https://github.com/google/tf-quant-finance/tree/master/api_docs",Checking https://github.com/google/tf-quant-finance/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/google/tf-quant-finance/issues/27",https://github.com/google/tf-quant-finance/blob/master/LICENSE is provided,There are few files related to testing.,2025-03-21,2,41,ML Frameworks / Libraries,2324,Yes
GoogleCloudPlatform/healthcare,Y,386,847,7788,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/GoogleCloudPlatform/healthcare/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/GoogleCloudPlatform/healthcare/issues/391 and https://github.com/GoogleCloudPlatform/healthcare/issues/463",https://github.com/GoogleCloudPlatform/healthcare/blob/master/LICENSE is provided.,There are many files related to testing but its everywhere,2024-08-20,322,27,Domain-Specific Applications,2841,No
GoogleCloudPlatform/ml-on-gcp,Y,506,376,9308,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/GoogleCloudPlatform/ml-on-gcp/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Little evidence of sustained commit activity with only 7 commits in the past 2 months,"The project maintainers respond to issues, as evidenced by https://github.com/GoogleCloudPlatform/ml-on-gcp/issues/34 and https://github.com/GoogleCloudPlatform/ml-on-gcp/issues/42 but not often",https://github.com/GoogleCloudPlatform/ml-on-gcp/blob/master/LICENSE is provided.,Not much test files,2024-10-24,34,27,Data Science / Traditional ML,3026,No
GoogleCloudPlatform/professional-services,Y,2944,2324,82363,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/GoogleCloudPlatform/professional-services/graphs/contributors shows that there are multiple contributors,The project uses Cloudbuild CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/GoogleCloudPlatform/professional-services/issues/482 and https://github.com/GoogleCloudPlatform/professional-services/issues/333",https://github.com/GoogleCloudPlatform/professional-services/blob/master/LICENSE is provided.,There are many files related to testing but its everywhere,2025-09-24,6,288,MLOps / Deployment,3121,Yes
GoogleCloudPlatform/python-docs-samples,Y,7839,11996,138315,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/GoogleCloudPlatform/python-docs-samples/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/GoogleCloudPlatform/python-docs-samples/issues/4206 and https://github.com/GoogleCloudPlatform/python-docs-samples/issues/4162",https://github.com/GoogleCloudPlatform/python-docs-samples/blob/master/LICENSE is provided.,There are many files related to testing but its everywhere,2025-09-26,177,629,MLOps / Deployment,3866,Yes
GoogleCloudPlatform/training-data-analyst,Y,8292,7963,108122,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/GoogleCloudPlatform/training-data-analyst/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,Functions mentioned but not well documented,Evidence of sustained commit activity,"Users ask, answer and resolve their own issues",https://github.com/GoogleCloudPlatform/training-data-analyst/blob/master/LICENSE is provided.,Can't find test files,2025-09-16,352,205,MLOps / Deployment,3517,No
google-research/google-research,Y,36441,4848,1307312,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/google-research/google-research/graphs/contributors that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There are multiple well maintained README,Checking https://github.com/google-research/google-research/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/google-research/google-research/issues/313",https://github.com/google-research/google-research/blob/master/LICENSE is provided,There are few files related to testing.,2025-09-17,418,639,ML Frameworks / Libraries,2617,Yes
google-research/meta-dataset,Y,790,319,15178,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/google-research/meta-dataset/graphs/contributors that there are multiple contributors.,CI is not used on the project.,There are is a well maintained README and documentation at https://github.com/google-research/meta-dataset/tree/master/doc,There is no commit in the past month,"The project maintainers respond to issues, as evidenced by https://github.com/google-research/google-research/issues/313",https://github.com/google-research/meta-dataset/blob/master/LICENSE is provided,There are few files related to testing.,2024-05-24,2,22,ML Frameworks / Libraries,2465,No
google-research/tensor2robot,Y,560,237,16147,The source code of the project exists as ad-hoc scripts.,https://github.com/google-research/tensor2robot/graphs/contributors that there are multiple contributors.,CI is not used on the project.,"There is a well-maintained README, and the majority of the functions in https://github.com/google-research/tensor2robot/tree/master/models ",Checking https://github.com/google-research/tensor2robot/pulse/monthly there has been 8 commit activity in the past month.,The author of the project does not reply to issues or close them.,https://github.com/google-research/tensor2robot/blob/master/LICENSE is provided,There are few files related to testing.,2024-08-19,2,14,ML Frameworks / Libraries,2396,No
google-research/text-to-text-transfer-transformer,Y,6425,601,8552,The source code of the project exists as ad-hoc scripts.,https://github.com/google-research/text-to-text-transfer-transformer/graphs/contributors that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and the majority of the functions in https://github.com/google-research/text-to-text-transfer-transformer/tree/master/t5/scripts",Checking https://github.com/google-research/text-to-text-transfer-transformer/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/google-research/text-to-text-transfer-transformer/issues/299",https://github.com/google-research/text-to-text-transfer-transformer/blob/master/LICENSE is provided,There are many files related to testing.,2025-04-28,40,57,ML Frameworks / Libraries,2239,Yes
GRAAL-Research/poutyne,Y,576,774,12874,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/GRAAL-Research/poutyne/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project maintainers (mainly 1 person) respond to issues, as evidenced by https://github.com/GRAAL-Research/poutyne/issues/72 and https://github.com/GRAAL-Research/poutyne/issues/40",https://github.com/GRAAL-Research/poutyne/blob/master/LICENSE is provided.,There are many files related to testing.,2025-05-05,8,20,ML Frameworks / Libraries,2918,Yes
graphbrain/graphbrain,Y,618,3218,10180,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/graphbrain/graphbrain/graphs/contributors that there are multiple contributors.,CI is not used on the project.,"There is a well-maintained README, and majority of the functions in https://github.com/graphbrain/graphbrain/tree/master/docs",Checking https://github.com/graphbrain/graphbrain/pulse/monthly there has been 1 commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/graphbrain/graphbrain/issues/17",https://github.com/graphbrain/graphbrain/blob/master/LICENSE is provided,There are few files related to testing.,2025-08-06,6,7,Natural Language Processing,3579,No
greentfrapp/lucent,Y,643,191,2009,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/greentfrapp/lucent/graphs/contributors that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and majority of the functions in https://github.com/greentfrapp/lucent/tree/master/lucent",Checking https://github.com/greentfrapp/lucent/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/graphbrain/graphbrain/issues/17",https://github.com/greentfrapp/lucent/blob/master/LICENSE is provided,There are few files related to testing.,2025-03-21,5,11,ML Frameworks / Libraries,2034,Yes
guildai/guildai,Y,889,5779,51790,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/guildai/guildai/graphs/contributors that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and majority of the functions in https://github.com/guildai/guildai/tree/master/guild",Checking https://github.com/guildai/guildai/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/guildai/guildai/issues/205",https://github.com/guildai/guildai/blob/master/LICENSE.txt is provided,There are few files related to testing.,2025-04-29,70,23,MLOps / Deployment,2989,Yes
guillaume-be/rust-bert,Y,2951,1120,176,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/guillaume-be/rust-bert/graphs/contributors that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and majority of the functions in https://github.com/guillaume-be/rust-bert/tree/master/src",Checking https://github.com/guillaume-be/rust-bert/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/guillaume-be/rust-bert/issues/56",https://github.com/guillaume-be/rust-bert/blob/master/LICENSE is provided,There are many files related to testing.,2025-05-26,7,47,Natural Language Processing,2139,Yes
hastagAB/Awesome-Python-Scripts,N,2263,471,7569,The source code of the project exists as ad-hoc scripts.,https://github.com/hastagAB/Awesome-Python-Scripts/graphs/contributors that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README,Checking https://github.com/hastagAB/Awesome-Python-Scripts/pulse/monthly there has been 2 commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/hastagAB/Awesome-Python-Scripts/issues/53",https://github.com/hastagAB/Awesome-Python-Scripts/blob/master/LICENSE.txt is provided,There is no evidence of any testing done on the project.,2024-06-21,12,133,Domain-Specific Applications,2619,No
heartexlabs/label-studio,Y,24894,5537,52356,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/heartexlabs/label-studio/graphs/contributors that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README,Checking https://github.com/heartexlabs/label-studio/pulse/monthly there has been 2 commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/heartexlabs/label-studio/issues/335",https://github.com/heartexlabs/label-studio/blob/master/LICENSE is provided,There is no evidence of any testing done on the project.,2025-09-26,1218,138,Computer Vision,2360,Yes
henrysky/astroNN,Y,204,2181,10096,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,There are no contributors to the project other than the author.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README and documentation in https://github.com/henrysky/astroNN/tree/master/docs,There is no commit in the past month,"The project maintainers respond to issues, as evidenced by https://github.com/henrysky/astroNN/issues/6",https://github.com/henrysky/astroNN/blob/master/LICENSE is provided,There are many files related to testing.,2025-09-09,9,5,ML Frameworks / Libraries,2973,Yes
home-assistant/core,Y,81605,99340,2109291,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/home-assistant/core/graphs/contributors that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README,Checking https://github.com/home-assistant/core/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/home-assistant/core/issues/37681",https://github.com/home-assistant/core/blob/dev/LICENSE.md is provided,There are many files related to testing.,2025-09-28,238,1026,Domain-Specific Applications,4460,Yes
huggingface/transformers,Y,150377,20591,988895,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,Multiple contributors: https://github.com/huggingface/transformers/graphs/contributors,"The project uses CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",The project shows frequent and consistent commits throughout the past years: https://github.com/huggingface/transformers/graphs/commit-activity,More closed issues than open. Project authors respond to issues: https://github.com/huggingface/transformers/issues,https://github.com/huggingface/transformers/blob/master/LICENSE,There are many files related to testing.,2025-09-26,964,3231,Natural Language Processing,2592,Yes
huseinzol05/Malaya,Y,506,942,603277,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,Multiple contributors: https://github.com/huseinzol05/Malaya/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Few commits in the last month: https://github.com/hunkim/PyTorchZeroToAll/graphs/commit-activity,"Only one issue, issues closed frequently: https://github.com/huseinzol05/Malaya/issues?q=is%3Aissue+is%3Aclosed",https://github.com/huseinzol05/Malaya/blob/master/LICENSE,There are few files related to testing.,2025-08-29,47,10,Natural Language Processing,2824,Yes
IBM/adversarial-robustness-toolbox,Y,5560,13028,80632,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/IBM/adversarial-robustness-toolbox/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/IBM/adversarial-robustness-toolbox/issues/477 and https://github.com/IBM/adversarial-robustness-toolbox/issues/448",https://github.com/IBM/adversarial-robustness-toolbox/blob/main/LICENSE is provided.,There are many files related to testing.,2025-09-25,7,109,Data Science / Traditional ML,2820,Yes
IBM/AIF360,Y,2657,438,13835,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/IBM/AIF360/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Little evidence of sustained commit activity but quite stable,"The project maintainers (mainly 1 person) respond to issues, as evidenced by https://github.com/IBM/AIF360/issues/185 and https://github.com/IBM/AIF360/issues/45",https://github.com/IBM/AIF360/blob/master/LICENSE is provided.,There are many files related to testing.,2024-12-10,19,63,Computer Vision,2660,Yes
IBM/AIX360,Y,1735,633,17132,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/IBM/AIX360/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,No evidence of sustained commit activity,"The project maintainers respond to issues but not often, as evidenced by https://github.com/IBM/AIX360/issues/46 and https://github.com/IBM/AIX360/issues/76",https://github.com/IBM/AIX360/blob/master/LICENSE is provided.,There are many files related to testing.,2025-02-26,10,26,Domain-Specific Applications,2337,Yes
IBM/lale,Y,343,1540,80917,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/IBM/lale/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Evidence of sustained commit activity,The maintainers of the project does not reply to issues or close them.,https://github.com/IBM/lale/blob/master/LICENSE.txt is provided.,There are many files related to testing.,2025-09-19,10,27,Data Science / Traditional ML,2311,Yes
idealo/image-super-resolution,Y,4789,151,2788,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,Multiple contributors: https://github.com/idealo/image-super-resolution/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a README, codes are not documented","No commits in the past few months, around 12 commits in the last year",More closed issues than open. Project authors respond to issues: https://github.com/idealo/image-super-resolution/issues,https://github.com/idealo/image-super-resolution/blob/master/LICENSE,There are many files related to testing.,2024-12-18,6,8,Computer Vision,2564,Yes
interpretml/DiCE,Y,1446,791,7492,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,Multiple contributors: https://github.com/interpretml/DiCE/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,More closed issues than open. Project authors respond to issues: https://github.com/interpretml/DiCE/issues,https://github.com/interpretml/DiCE/blob/master/LICENSE,There are many files related to testing.,2025-07-13,96,23,Domain-Specific Applications,2407,Yes
interpretml/interpret-community,Y,435,486,10499,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,Multiple contributors: https://github.com/interpretml/interpret-community/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a README, codes are not documented",Consistent commits in the last month,More closed issues than open. Project authors respond to issues: https://github.com/interpretml/interpret-community/issues?q=is%3Aopen+is%3Aissue,https://github.com/interpretml/interpret-community/blob/master/LICENSE,There are many files related to testing.,2025-02-07,34,22,Reinforcement Learning,2261,Yes
interpretml/interpret-text,Y,426,152,6861,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,Multiple contributors: https://github.com/interpretml/interpret-text/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More open issues than closed issues, author does not respond frequently",https://github.com/interpretml/interpret-text/blob/master/LICENSE,There are many files related to testing.,2024-02-05,57,18,Natural Language Processing,2282,Yes
