repo_name,loc,size_category,total_smells,smell_density,hyperparameters_not_explicitly_set,gradients_not_cleared_before_backward_propagation,columns_and_datatype_not_explicitly_set,in_place_apis_misused,Chain_Indexing,matrix_multiplication_api_misused,pytorch_call_method_misused,dataframe_conversion_api_misused,nan_equivalence_comparison_misused,unnecessary_iteration,merge_api_parameter_not_explicitly_set,memory_not_freed,empty_column_misinitialization,Broadcasting_Feature_Not_Used,deterministic_algorithm_option_not_used,tensor_array_not_used,domain
mljar/mljar-supervised,19321,medium,291.0,15.061332229180683,0.0,0.0,218.0,16.0,49.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Data Science / Traditional ML
mpariente/asteroid,19013,medium,62.0,3.260926734339662,0.0,0.0,42.0,1.0,16.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,ML Frameworks / Libraries
namisan/mt-dnn,13012,medium,1.0,0.0768521364893944,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Natural Language Processing
nanoporetech/medaka,13952,medium,4.0,0.286697247706422,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Domain-Specific Applications
norse/norse,14090,medium,11.0,0.7806955287437899,0.0,5.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
nussl/nussl,15649,medium,13.0,0.830724007923829,1.0,0.0,1.0,3.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Domain-Specific Applications
nutonomy/nuscenes-devkit,14748,medium,23.0,1.5595334960672633,0.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Domain-Specific Applications
onnx/onnxmltools,25210,medium,22.0,0.8726695755652518,8.0,0.0,13.0,4.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
OpenNMT/OpenNMT-py,26821,medium,9.0,0.33555795831624474,1.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Natural Language Processing
openvinotoolkit/model_server,13305,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MLOps / Deployment
PacktPublishing/Deep-Reinforcement-Learning-Hands-On,11006,medium,3.0,0.27257859349445757,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Reinforcement Learning
pyannote/pyannote-audio,10618,medium,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Reinforcement Learning
pytorch/text,14307,medium,3.0,0.20968756552736423,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Natural Language Processing
pytorch/tutorials,14427,medium,19.0,1.3169751161017538,1.0,13.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
QData/TextAttack,25560,medium,8.0,0.3129890453834116,0.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Natural Language Processing
quantumblacklabs/kedro,24084,medium,32.0,1.328682943032719,0.0,0.0,9.0,0.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MLOps / Deployment
ria-com/nomeroff-net,10722,medium,13.0,1.212460361872785,0.0,0.0,1.0,0.0,3.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Computer Vision
scikit-learn-contrib/imbalanced-learn,16049,medium,15.0,0.9346376721291046,56.0,0.0,6.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Data Science / Traditional ML
SeldonIO/alibi,20797,medium,68.0,3.26970236091744,13.0,0.0,6.0,4.0,45.0,3.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Domain-Specific Applications
SeldonIO/alibi-detect,24028,medium,27.0,1.1236890294656234,34.0,2.0,7.0,0.0,14.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Domain-Specific Applications
skorch-dev/skorch,20587,medium,30.0,1.4572302909603148,1.0,1.0,9.0,6.0,9.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
slundberg/shap,23375,medium,221.0,9.454545454545455,27.0,4.0,44.0,17.0,17.0,3.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,Data Science / Traditional ML
snap-stanford/ogb,21473,medium,144.0,6.706096027569506,0.0,36.0,70.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Domain-Specific Applications
SPFlow/SPFlow,16505,medium,2.0,0.12117540139351712,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
sql-machine-learning/elasticdl,21950,medium,4.0,0.18223234624145787,15.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
tensorflow/io,26222,medium,4.0,0.15254366562428495,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
tensorflow/quantum,15821,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,ML Frameworks / Libraries
tensorflow/text,18446,medium,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
tensorflow/tfjs,12161,medium,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
tf-encrypted/tf-encrypted,22814,medium,1.0,0.04383273428596476,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
uber/causalml,11144,medium,148.0,13.280689160086144,36.0,0.0,83.0,32.0,21.0,2.0,0.0,2.0,0.0,3.0,5.0,0.0,3.0,0.0,0.0,0.0,Data Science / Traditional ML
ultralytics/yolov3,11096,medium,40.0,3.604902667627974,1.0,0.0,9.0,7.0,7.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Computer Vision
ultralytics/yolov5,11454,medium,44.0,3.8414527675921075,1.0,0.0,9.0,7.0,7.0,0.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Computer Vision
vanvalenlab/deepcell-tf,14131,medium,11.0,0.7784304012454887,8.0,0.0,3.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
vespa-engine/sample-apps,11979,medium,28.0,2.337423825027131,0.0,2.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,MLOps / Deployment
vwxyzjn/cleanrl,12634,medium,3.0,0.2374544878898211,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Reinforcement Learning
yzhao062/pyod,16576,medium,26.0,1.5685328185328185,6.0,13.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Data Science / Traditional ML
aiqm/torchani,53385,large,34.0,0.636883019574787,0.0,18.0,7.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
allegroai/trains,157601,large,41.0,0.26015063356196977,2.0,6.0,22.0,4.0,4.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MLOps / Deployment
apache/beam,249436,large,470.0,1.8842508699626357,7.0,0.0,218.0,229.0,1.0,0.0,0.0,6.0,0.0,5.0,11.0,0.0,1.0,0.0,0.0,0.0,MLOps / Deployment
arviz-devs/arviz,33576,large,18.0,0.536097212294496,0.0,0.0,4.0,8.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Data Science / Traditional ML
avrae/avrae,35896,large,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Domain-Specific Applications
awslabs/amazon-sagemaker-examples,70067,large,210.0,2.9971313171678537,9.0,20.0,114.0,22.0,19.0,2.0,1.0,15.0,0.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,Reinforcement Learning
bulletphysics/bullet3,100791,large,97.0,0.9623875147582622,1.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Reinforcement Learning
calico/basenji,39869,large,277.0,6.94775389400286,5.0,0.0,139.0,40.0,58.0,1.0,0.0,0.0,0.0,36.0,0.0,3.0,0.0,2.0,0.0,0.0,Domain-Specific Applications
CLUEbenchmark/CLUE,48963,large,8.0,0.16338868124910647,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Natural Language Processing
commaai/openpilot,45846,large,3.0,0.06543646119617852,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Domain-Specific Applications
creme-ml/creme,31014,large,108.0,3.482298316889147,53.0,0.0,55.0,13.0,9.0,3.0,0.0,24.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Data Science / Traditional ML
data-science-on-aws/workshop,95889,large,294.0,3.0660451146638303,42.0,15.0,122.0,116.0,13.0,14.0,1.0,6.0,0.0,3.0,4.0,0.0,8.0,0.0,0.0,0.0,MLOps / Deployment
deepchem/deepchem,105916,large,71.0,0.6703425355942445,15.0,4.0,39.0,3.0,3.0,8.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,Data Science / Traditional ML
deepfakes/faceswap,46036,large,1.0,0.02172213050656008,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Computer Vision
deepmind/open_spiel,64877,large,54.0,0.8323442822571945,0.0,9.0,2.0,0.0,8.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Reinforcement Learning
determined-ai/determined,93990,large,9.0,0.09575486753909991,13.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MLOps / Deployment
dmlc/dgl,197271,large,188.0,0.9530037359774118,23.0,44.0,67.0,9.0,6.0,43.0,16.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Domain-Specific Applications
facebookresearch/habitat-api,64676,large,14.0,0.21646360319129196,4.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Computer Vision
facebookresearch/mmf,43269,large,9.0,0.2080011093392498,0.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
facebookresearch/nevergrad,32642,large,43.0,1.3173212425709209,2.0,0.0,26.0,8.0,4.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Data Science / Traditional ML
facebookresearch/ReAgent,49789,large,16.0,0.32135612283837794,1.0,0.0,4.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Reinforcement Learning
feast-dev/feast,98817,large,372.0,3.764534442454234,0.0,0.0,223.0,137.0,2.0,0.0,0.0,4.0,0.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,MLOps / Deployment
FederatedAI/FATE,52191,large,136.0,2.605813262823092,0.0,4.0,49.0,10.0,51.0,0.0,10.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,MLOps / Deployment
flairNLP/flair,35868,large,20.0,0.5576000892160142,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Natural Language Processing
freewym/espresso,141225,large,56.0,0.3965303593556382,2.0,0.0,6.0,3.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
galaxyproject/galaxy,351424,large,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Domain-Specific Applications
geomstats/geomstats,52651,large,12.0,0.2279158990332567,0.0,0.0,9.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
google/clusterfuzz,106396,large,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MLOps / Deployment
google/flax,64703,large,8.0,0.12364187131972242,23.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
google/tf-quant-finance,50669,large,5.0,0.09867966606801003,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
GoogleCloudPlatform/professional-services,82363,large,108.0,1.3112684093585711,1.0,0.0,69.0,22.0,4.0,0.0,0.0,3.0,0.0,10.0,0.0,0.0,8.0,0.0,0.0,0.0,MLOps / Deployment
GoogleCloudPlatform/python-docs-samples,138315,large,19.0,0.1373676029353288,0.0,0.0,13.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MLOps / Deployment
GoogleCloudPlatform/training-data-analyst,108122,large,62.0,0.5734263147185586,25.0,0.0,35.0,21.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,MLOps / Deployment
google-research/google-research,1307312,large,1881.0,1.4388302103858912,97.0,24.0,891.0,322.0,245.0,184.0,31.0,71.0,0.0,84.0,26.0,3.0,11.0,26.0,0.0,0.0,ML Frameworks / Libraries
guildai/guildai,51790,large,18.0,0.3475574435219154,0.0,4.0,6.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,MLOps / Deployment
heartexlabs/label-studio,52356,large,9.0,0.1719000687600275,0.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Computer Vision
home-assistant/core,2109291,large,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Domain-Specific Applications
huggingface/transformers,988895,large,207.0,0.2093245491179549,3.0,96.0,13.0,8.0,5.0,2.0,73.0,3.0,0.0,5.0,2.0,0.0,0.0,0.0,4.0,0.0,Natural Language Processing
huseinzol05/Malaya,603277,large,45.0,0.07459260008254914,1.0,14.0,5.0,3.0,6.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,Natural Language Processing
IBM/adversarial-robustness-toolbox,80632,large,145.0,1.79829348149618,119.0,36.0,12.0,7.0,0.0,1.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Data Science / Traditional ML
IBM/lale,80917,large,217.0,2.681760322305572,349.0,0.0,62.0,16.0,135.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Data Science / Traditional ML
jrzaurin/pytorch-widedeep,32158,large,118.0,3.669382424280117,12.0,2.0,66.0,28.0,11.0,0.0,1.0,2.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,Natural Language Processing
kornia/kornia,84657,large,14.0,0.16537321190214632,5.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Computer Vision
kubeflow/kfserving,62085,large,20.0,0.32213900297978576,1.0,0.0,10.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,MLOps / Deployment
kubeflow/pipelines,110404,large,12.0,0.10869171406833086,1.0,0.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MLOps / Deployment
magenta/magenta,44690,large,1.0,0.022376370552696354,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Domain-Specific Applications
microsoft/ai-edu,31803,large,167.0,5.251076942426815,0.0,0.0,4.0,0.0,1.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Domain-Specific Applications
microsoft/botbuilder-python,47236,large,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
microsoft/DeepSpeed,96442,large,79.0,0.8191451857074719,3.0,76.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,ML Frameworks / Libraries
microsoft/MMdnn,27846,large,2.0,0.07182360123536594,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
mindsdb/mindsdb,134139,large,1187.0,8.849029737809287,0.0,0.0,896.0,104.0,114.0,0.0,0.0,41.0,0.0,28.0,4.0,0.0,2.0,0.0,0.0,0.0,Natural Language Processing
mlflow/mlflow,320527,large,864.0,2.695560748392491,206.0,3.0,707.0,52.0,34.0,5.0,9.0,45.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,MLOps / Deployment
mlperf/inference,52082,large,67.0,1.2864329326830766,0.0,0.0,15.0,16.0,24.0,0.0,5.0,0.0,0.0,3.0,4.0,0.0,3.0,0.0,0.0,0.0,ML Frameworks / Libraries
mlperf/training,78482,large,14.0,0.17838485257766112,0.0,9.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
mozilla/bugbug,28261,large,152.0,5.37843671490747,0.0,0.0,8.0,0.0,143.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Natural Language Processing
NVIDIA/DeepLearningExamples,294144,large,304.0,1.0335073977371627,5.0,19.0,109.0,79.0,35.0,0.0,9.0,36.0,0.0,7.0,9.0,0.0,0.0,12.0,0.0,1.0,Natural Language Processing
NVIDIA/Megatron-LM,135466,large,51.0,0.37647823069995423,2.0,12.0,4.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Natural Language Processing
NVIDIA/NeMo,422797,large,421.0,0.9957497333235571,3.0,4.0,64.0,9.0,51.0,9.0,280.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,Natural Language Processing
NVIDIA/TRTorch,91885,large,9.0,0.09794852260978397,3.0,2.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
NVIDIAGameWorks/kaolin,42464,large,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
onnx/tensorflow-onnx,61422,large,8.0,0.13024649148513562,138.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
opencv/cvat,94933,large,1.0,0.010533744851632203,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Computer Vision
opencv/open_model_zoo,91679,large,29.0,0.3163210768005759,1.0,0.0,2.0,5.0,0.0,19.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
opencv/openvino_training_extensions,70685,large,64.0,0.9054254792388767,3.0,0.0,12.0,12.0,0.0,2.0,35.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Computer Vision
OpenMined/PySyft,74198,large,47.0,0.633440254454298,0.0,0.0,41.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
open-mmlab/mmcv,27143,large,19.0,0.6999963158088641,5.0,8.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Computer Vision
open-mmlab/mmdetection,161864,large,107.0,0.6610487816932733,4.0,0.0,4.0,0.0,0.0,7.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Computer Vision
openvinotoolkit/openvino,145379,large,9.0,0.06190715302760372,5.0,0.0,2.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Natural Language Processing
PaddlePaddle/models,45510,large,68.0,1.4941771039332015,0.0,3.0,2.0,2.0,35.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Natural Language Processing
PaddlePaddle/PARL,48648,large,71.0,1.4594639039631638,0.0,0.0,0.0,0.0,0.0,69.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Reinforcement Learning
pgmpy/pgmpy,45648,large,267.0,5.8491062039957935,32.0,0.0,153.0,35.0,7.0,3.0,0.0,67.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Data Science / Traditional ML
Project-MONAI/MONAI,150944,large,165.0,1.09312062751749,22.0,1.0,6.0,0.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Computer Vision
pymc-devs/pymc3,59576,large,32.0,0.5371290452531221,749.0,0.0,8.0,1.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Data Science / Traditional ML
pyro-ppl/pyro,89231,large,34.0,0.38103349732716213,20.0,7.0,8.0,2.0,0.0,0.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
pytorch/audio,40441,large,5.0,0.12363690314285007,2.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
pytorch/botorch,89598,large,43.0,0.4799214268175629,1.0,24.0,0.0,1.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
pytorch/captum,42238,large,4.0,0.09470145366731379,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
pytorch/fairseq,145783,large,60.0,0.4115706220889953,2.0,2.0,8.0,3.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
pytorch/ignite,48124,large,7.0,0.14545756794946388,4.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,ML Frameworks / Libraries
pytorch/serve,31729,large,13.0,0.40971981468057617,1.0,1.0,6.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MLOps / Deployment
pytorch/vision,76374,large,9.0,0.11784115012962527,2.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,Computer Vision
PyTorchLightning/pytorch-lightning,86858,large,30.0,0.34539132837504893,19.0,11.0,2.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,ML Frameworks / Libraries
quantumlib/Cirq,169329,large,113.0,0.6673399122418486,0.0,0.0,45.0,13.0,1.0,51.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
ray-project/ray,637199,large,714.0,1.1205290654881757,12.0,26.0,517.0,50.0,54.0,2.0,14.0,43.0,5.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,Natural Language Processing
ROCmSoftwarePlatform/tensorflow-upstream,757020,large,22.0,0.02906131938390003,44.0,0.0,0.0,0.0,0.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
rusty1s/pytorch_geometric,124071,large,170.0,1.370183201553949,8.0,80.0,54.0,9.0,5.0,0.0,2.0,17.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
rwightman/pytorch-image-models,83829,large,15.0,0.1789356905128297,31.0,1.0,2.0,3.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Computer Vision
rwth-i6/returnn,145490,large,10.0,0.06873324627122139,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,ML Frameworks / Libraries
spmallick/learnopencv,120110,large,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Computer Vision
stanfordnlp/stanza,51429,large,17.0,0.33055280094888095,0.0,7.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Natural Language Processing
streamlit/streamlit,113797,large,23.0,0.2021142912379061,0.0,0.0,18.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Data Science / Traditional ML
tensorflow/addons,28322,large,14.0,0.4943153732081068,28.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,ML Frameworks / Libraries
tensorflow/data-validation,28157,large,44.0,1.5626664772525483,0.0,0.0,28.0,12.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
tensorflow/examples,31727,large,17.0,0.5358212248242822,5.0,0.0,9.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
tensorflow/federated,96954,large,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
