repo_name,loc,size_category,total_smells,smell_density,hyperparameters_not_explicitly_set,gradients_not_cleared_before_backward_propagation,columns_and_datatype_not_explicitly_set,in_place_apis_misused,Chain_Indexing,matrix_multiplication_api_misused,pytorch_call_method_misused,dataframe_conversion_api_misused,nan_equivalence_comparison_misused,unnecessary_iteration,merge_api_parameter_not_explicitly_set,memory_not_freed,empty_column_misinitialization,Broadcasting_Feature_Not_Used,deterministic_algorithm_option_not_used,tensor_array_not_used,total_smells_filtered,Commits,Created Date,Last Commit Date,age_days,created_dt,last_commit_dt,duration_months,commits_per_month,activity_level
masa-su/pixyz,5683,small,14,2.4634875945803274,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,901,2018-06-04T05:41:09Z,2025-09-22,2739,2018-06-04 05:41:09+00:00,2025-09-22 00:00:00+00:00,89.98028909329828,10.013304125593283,Low Activity
michaelhush/M-LOOP,4607,small,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,655,2015-07-15T04:01:33Z,2025-09-16,3794,2015-07-15 04:01:33+00:00,2025-09-16 00:00:00+00:00,124.63863337713535,5.2551924090669475,Low Activity
microsoft/Windows-Machine-Learning,562,small,4,7.117437722419928,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1731,2018-03-01T20:07:47Z,2025-08-07,2834,2018-03-01 20:07:47+00:00,2025-08-07 00:00:00+00:00,93.1011826544021,18.59267466478476,High Activity
MIPT-Oulu/solt,4768,small,4,0.8389261744966443,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,443,2018-08-02T15:09:05Z,2025-06-01,2680,2018-08-02 15:09:05+00:00,2025-06-01 00:00:00+00:00,88.04204993429697,5.031686567164179,Low Activity
MITK/MITK,55,small,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46189,2011-05-17T13:21:51Z,2025-08-25,5314,2011-05-17 13:21:51+00:00,2025-08-25 00:00:00+00:00,174.5729303547963,264.5828302596914,High Activity
mlmed/torchxrayvision,6002,small,25,4.1652782405864714,0.0,2.0,19.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,414,2020-03-04T03:26:11Z,2025-09-18,2100,2020-03-04 03:26:11+00:00,2025-09-18 00:00:00+00:00,68.98817345597897,6.001028571428572,Low Activity
mozilla/DeepSpeech,8842,small,21,2.375028274146121,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,3467,2016-06-02T15:04:53Z,2025-06-19,3471,2016-06-02 15:04:53+00:00,2025-06-19 00:00:00+00:00,114.02759526938239,30.404920772111783,High Activity
NLeSC/mcfly,1749,small,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,936,2016-05-19T13:09:26Z,2025-07-28,3485,2016-05-19 13:09:26+00:00,2025-07-28 00:00:00+00:00,114.48751642575559,8.175563845050215,Low Activity
philipperemy/keract,1080,small,2,0.9259259259259258,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,417,2017-05-17T04:50:57Z,2025-04-07,3122,2017-05-17 04:50:57+00:00,2025-04-07 00:00:00+00:00,102.56241787122207,4.065816784112749,Low Activity
philipperemy/keras-tcn,1306,small,2,0.7656967840735068,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,571,2018-03-22T02:40:06Z,2025-04-08,2814,2018-03-22 02:40:06+00:00,2025-04-08 00:00:00+00:00,92.44415243101183,6.176702203269367,Low Activity
